policy,round,oracle_type,accession,allocation_policy,ranking_policy,ranking_base,candidate_pool_basis_used,alpha_used,K_used,selected_by,predicted_prob,uncertainty_norm,novelty,novelty_norm,composite_score,revealed_value,revealed_label
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000014,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.1446154542681356,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000187,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.5635001701330684,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000261,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.4363934227847224,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000332,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.174099399475465,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000385,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.0765560046045636,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000467,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.6905830708574703,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000486,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.5577467263402125,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000541,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.5129240974063293,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000551,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.0476259108946954,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000560,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.6008399447950281,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000855,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.2082218163219378,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000940,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.9974354358623028,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0001016,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.4966639889832506,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0001066,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.4928513819195327,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0001235,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.179678579210484,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0001382,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.2258863570544131,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0001412,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.2758393725315924,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0001436,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.0234384138323196,0
