policy,round,oracle_type,accession,allocation_policy,ranking_policy,ranking_base,candidate_pool_basis_used,alpha_used,K_used,selected_by,predicted_prob,uncertainty_norm,novelty,novelty_norm,composite_score,revealed_value,revealed_label
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000014,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.2622759618052629,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000088,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.518204897722901,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000122,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,-0.0163318566349282,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000158,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.0441358017505311,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000195,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.2621947715373455,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000245,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.3123418562071136,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000261,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,1.016594266589144,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000332,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.1066736472575577,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000359,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.209776251973431,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000467,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.6234398029396694,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000486,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.5676496633880335,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000541,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.3418199782559564,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000551,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.7247291762823879,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000560,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.4898330551220094,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000643,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.2187524200563772,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000658,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.0078663456210128,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000696,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.4556732841583076,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000701,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.3393721296784077,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000722,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.2029913569359423,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,PAE,SYN0000772,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,0.6137031232012727,0
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000017,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,29.04781049118801,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000040,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,15.105940307437502,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000096,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,10.992176200071,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000097,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,13.260532107699069,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000111,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,20.564234033337364,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000135,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,9.80934781634268,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000150,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,13.11955156804446,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000170,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,1.6223036879972892,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000199,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,16.666613284789825,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000222,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,7.857365704599886,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000239,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,13.456114192507618,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000254,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,4.905735890127798,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000288,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,6.182587118384605,1
adaptive_joint_gap__composite_batch_ff_uK__a0.7__K5000,0,MSA,SYN0000333,adaptive_joint_gap,composite_batch_ff_uK__a0.7__K5000,composite_batch_ff_uK,,0.7,5000,init_seed,,,,,,16.880924173213714,1
